id,pattern,description,category,subcategory,subsubcategory,json
60,Types,"There are two primary types of acting agent, Person and Group. Person is used for humans, and Group is used for any collective set of humans. Groups typically are able to take action as a coherent whole, but in some cases this is overlooked for simplicity's sake. For example, it is useful to be able to say that ""The Museum"" acquired a painting or ""The Workshop"" produced a sculpture, when in fact it was some subset of the members of the group that actually performed the activity but we do not know exactly who.

Person and Group are sub-classes of the Actor class, which might be used as a fallback when it is not known whether the actor is a Person or a Group. For example, if a sale of an object is listed as being from an art dealer called ""Smith"", it is unclear whether it refers to a person via their family name, or to an organization named after its owner. Equally, if there is no information about the actor currently available, but identity is desired such that it can later be reconciled or used because there is some other information known, then the use of Actor is likely needed in this case as well. This is only to be used when the nature of the actor is unknown to avoid asserting the existence of a Person when it might have been a Group, or vice versa.",Actors: People and Organizations,,,https://linked.art/example/person/2
61,Names,Names are described in detail in the shared patterns section.,Actors: People and Organizations,,,https://linked.art/example/person/3
62,Parts of Names,"Personal names can often be broken down into parts, with different types. The types are given using the classified_as property. The name parts are themselves Names, and are included in the part set in the same way as other partitioning. The type of name is given using classified_as, in the regular fashion. Western name division vocabulary is given below, and other name part types should be suggested
",Actors: People and Organizations,Names,,https://linked.art/example/person/4
63,Identity,"People and Organizations are often assigned identifiers that should be recorded and tracked in the same way as any other identity. These follow the same basic pattern as for other identifiers, with identified_by being used with an Identifier resource.",Actors: People and Organizations,,,https://linked.art/example/person/5 
64,Equivalent Resources,"There may be other identifiers for the person available in external systems, such as ULAN or any of a dozen others. If all of the information needed about the person is available from that system, then it is recommended to simply use that identifier directly as the URI for the Person. If there is a requirement to maintain separate information about the person, then the equivalent property should be used to align the two. This might happen when, for example, the local data has additional information about which documents refer to the person, or more detailed biographical information
",Actors: People and Organizations,Identity,,https://linked.art/example/person/6
65,Addresses,"People and Organizations often have addresses, physical or online, via which they can be contacted. This includes mailing addresses, email addresses and so forth. These are referenced separately from Names and Identifiers, as many Actors might have the same contact point. The address is an identifier for a location or service, and is thus modeled as an Identifier. This means it does not have language information, unlike Names, but addresses are not inherently linguistic.

This Identifier is then related to the actor via the contact_point property. They can be classified_as different types, and use the content property to capture the address itself.",Actors: People and Organizations,,,https://linked.art/example/person/7
66,Birth and Death / Formation and Dissolution,"Like the production of objects or the creation of texts, people and organizations also come into and out of existence through events. These events can take place at certain Places, and happen at certain times.

People are born in Birth events and die in Death events, related to the person by the born and died properties respectively. Groups are formed in Formation events, and dissolved in Dissolution events, referenced via the formed_by and dissolved_by properties. These classes are modeled not as Activities, but as Events that are not themselves carried out by anyone. They are the coming into existence instant of the person, not the conception of the couple, the labor of the mother, or potentially the killing by a murderer. These activities can be modeled as causes, as described below.

Birth and Death do not have any properties of their own that are used in the model, only those inherited from the event superclass, such as timespan and took_place_at.

!!! ""note"" ""Inanimate Thing or Dead Person?"" After death, people are still instances of Person which is a subclass of Actor, even though they can no longer carry out activities. People in comas or otherwise completely incapacitated also cannot carry out activities, but are not temporarily non-Actors. The modeling that death is a transformation from an instance of Person to an instance of Thing adds complexity for the sake of purity, but does not add any actual value. Thus a burial activity (aat:300263485) buries a Person, not a Thing-that-used-to-be-a-Person. However if the skeleton is then dug up and exhibited, it is exhibited as a Thing. There is, therefore, a transition at some undetermined point.",Actors: People and Organizations,Life Events,,"https://linked.art/example/person/8
https://linked.art/example/group/1 "
67,Active Dates,"It is often useful to know where and when the person or organization was active in their professional function. For example, an artist might have started painting when they were 20, stopped by 30, and only painted in Italy. This information can be used to help eliminate dubious attributions, for example.

The property for the Person or Group is carried_out, the inverse of the more familiar carried_out_by from Activities to Actors. The Activity resource should be classified_as aat:300393177, meaning the time when the actor is actively performing their primary professional function. The other properties of activities can and should also be used.",Actors: People and Organizations,Life Events,,https://linked.art/example/person/9
68,Biography,"Biographical descriptions follow the LinguisticObject pattern, with biography (aat:300080102) as the classification. In all other respects, it is a vanilla usage of a resource being referred_to_by a particular text.",Actors: People and Organizations,Descriptive Information,,https://linked.art/example/person/10
69,Nationality,"Nationality is modeled as a Type that is associated with the Person, rather than as a Group as described in the CIDOC-CRM ontology document. This is because all of the people, across all time, who have had a particular nationality, cannot take action as a single coherent entity. As Group is a sub-class of Actor, it is not thought to be an appropriate class for this use. Without proliferating new classes (e.g. sets of people that are not actors), the traditional and perfectly consistent way to describe nationality is as a flag on the person, which is modeled as a Type.

The Type resource should have aat:300379842 as one of its classifications, such that a consuming application can find all of the nationality types from amongst the person's classifications. The nationality resource should either be from an established vocabulary of nationalities, or have an exact_match to an established vocabulary entry if additional local information is necessary to record, such as a particular name for that nationality.",Actors: People and Organizations,Descriptive Information,,https://linked.art/example/person/11
70,Ethnicity,"Ethnicity is separate from nationality, as it refers to a social group or culture as opposed to a political nation or state. The same rationale as for Nationality being a classification also applies to ethnicity or culture -- it is unlikely to be a coherent collective capable of intentional action.",Actors: People and Organizations,Descriptive Information,,
71,Gender,"Gender is a debated and politically charged topic. The intent of this section is not to take a stand on those debates, but instead to allow the representation of data in museum and other information management systems to be made accessible.

Gender is not specifically discussed in CRM, in fact it was even deleted from a previous version, and the modeling follows the same classification pattern as for nationality and culture. This allows a plethora of gender diversity, and does not make any specific statements about biological versus assumed versus preferred gender roles. The gender must be classified_as aat:300055147.",Actors: People and Organizations,Descriptive Information,,https://linked.art/example/person/12
72,Digital Integration,"Images of the person can also be provided, following the common pattern for digital resources. Only the basic image case is shown below, the other scenarios can easily be determined from the referenced digital integration for objects.",Actors: People and Organizations,Descriptive Information,,https://linked.art/example/person/13
73,Organization Membership,"As discussed above, Organizations can be seen as the actor when it comes to their roles in various events. For example, an auction is likely to be carried out by an organization, and they can own and curate objects.

The only significantly new aspect to organizational actors, compared to people, is that they can have members. These members can be either sub-groups, such as a department within a museum, or individuals.",Actors: People and Organizations,,,https://linked.art/example/person/14
74,Provenance Event,"Provenance Events are wrapper activities which represent the context in which several more granular events occur, and represent the overall event that is tracked in the chain, rather than the specific legal and physical changes that affect one or more objects. For example, an exchange of one object for another is a single provenance entry that involves the transfer of ownership of the two objects and thus that event would appear in both objects' timelines. It might also be accompanied by an additional payment of money, promise of an activity or other contributions.

Provenance Events have all of the regular properties and relationships, as documented in the baseline patterns. In particular, the relationships to actors, places and time reflect the overall event, and can be further specified in the separate parts if they are different and known.","Object Provenance
",,,https://linked.art/example/provenance/4
75,Classifications,"There are many different types of provenance activity that can be covered with this model, from simple purchases to exchange money for an object, or more complex endowments, promised gifts, bequeathments and so forth. These classifications should be added to the activity to clarify the particular event.",Object Provenance,Provenance Event,,https://linked.art/example/provenance/5
76,Relative Times,"When describing historical events, it may not be possible to give any useful timespan of when the activity occured, and only be able to relate it to happening before or after another event. This allows the activity to be ordered in a chain of events, without being explicit about any date range.

The provenance activity has two properties to cover this situation, starts_after_the_end_of and ends_before_the_start_of. The first relates to activities that occur before the current event (the start of the current event is after the end of the previous one) and the latter relates to activities that occur after the current one, by the same logic.",Object Provenance,Provenance Event,,https://linked.art/example/provenance/6
77,"Object Acquisition
","Acquisitions are used to describe the transfer of ownership of an object from one owner to the next. The first owner is typically the artist, who would then transfer it to the second owner, to the third owner and so on. The ownership chain can be expressed by repeating this same pattern with the buyer from one acquisition being the seller in the subsequent one. If the previous owner (e.g. the seller if there is a value exchange) or the subsequent owner (e.g. the buyer) is not known for a particular acquisition, then the reference can be left out from the description.

The acquistion is not necessarily a purchase, it could be a gift, an inheritance or any other method of gaining the right of ownership of an object.

The model encodes this information with an Acquisition part of the overall Provenance Event. The acquisition is the transfer of the right of ownership of an object (referenced in transferred_title_of) from the seller (in transferred_title_from) to the buyer (in transferred_title_to).

Each object has its own Acquisition as part of the provenance event, so if a collector buys three paintings from a dealer, then there would be a single Provenance Event with three Acquisitions, all of which transfer the title of a single painting from the dealer to the collector.",Object Provenance,Parts,Object Acquisition and Loan,https://linked.art/example/provenance/7
78,"Multiple Owners
","In the simple case of multiple simultaneous owners where either the division of the ownership is unknown or an even split, all of the owners can simply be listed with transferred_title_from (when the group is selling) or transferred_title_to (when the group is buying).

If there is additional information known about the exact nature of the ownership division, then it is worth considering the more complex and more expressive section on rights to describe this in more detail.

If there are multiple parties that have formally entered into a legal consortium or organization, and that consortium is the legal owner of the object, then the consortium should be modeled as a Group with the parties as members, and be the sole owner of the object.",Object Provenance,Parts,Object Acquisition and Loan,https://linked.art/example/provenance/8
79,Agents,"In some cases, it is known that an agent other than the buyer carried out the acquisition. This can be modeled by associating a different actor from the buyer (the person who title is transferred to) carrying out the activity.",Object Provenance,Parts,Object Acquisition and Loan,https://linked.art/example/provenance/9
80,Exchange of Objects,This pattern allows for the exchange of objects between two parties by simply adding a second Acquisition.,Object Provenance,Parts,Object Acquisition and Loan,https://linked.art/example/provenance/10
81,Payments,"A purchase is a common type of acquisition in which money is exchanged for the object. The provenance event consists of the acquisition along with one or more related payments. This typically involves a payment from the seller to the buyer for the agreed upon price, but might include further payments to or from others such as for shared ownership, payment of debts owed, or for services rendered as part of the overall activity.

The Payment activity has equivalent relationships for the actor that the money is transferred from (paid_from), the actor the money is transferred to (paid_to), and the amount of money paid (paid_amount). The amount itself is a MonetaryAmount that has a value (value) and a currency (currency). Each separable monetary amount is modeled as an individual instance of Payment, and thus if the buyer paid a commission to the agent who carried out the purchase, and paid for the object, then there would be two Payments, one from the buyer to the seller and one from the buyer to the agent. Commissions to auction houses or for consignments would use the same pattern.",Object Provenance,Parts,Object Acquisition and Loan,https://linked.art/example/provenance/11
82,"Payment for Services
","Beyond simply paying the previous owner for the object, there are many other reasons why money might change hands that are relevant to describe for art history.

For example, it might be known how much commission went to an auction house or for the sale of objects by consignment, particularly if this comes from the stock books or records of the company. Artists might be paid a commission in advance for the production of an object, or agents might be paid a commission for finding and purchasing objects on behalf of the new owner.",Object Provenance,Parts,Object Acquisition and Loan,https://linked.art/example/provenance/12
83,Loans,"The model makes a distinction between the transfer of legal ownership and the transfer of custody of an object (e.g. by losing the object or loaning it out for an exhibition). If the possession of the object is temporary, such that the object would be given back to the real owner at the end of that possession without what might be considered a sale or exchange, then it is a transfer of custody. Note that the provenance activity here does not represent the entire duration of the change in custody, only the transfer of it. Just like acquisitions, there would be a second provenance activity that would transfer the custody back to the original custodian or on to some other party.

Long term loans or even ""permanent"" loans are just open ended pairs of activities -- the object has had its custody transferred, and the object has not been returned yet.

In the model, these transfers of custody use a different class, TransferOfCustody instead of Acquisition. The properties that capture the parties and object involved are also different, although equivalent, to those of Acquisition: transferred_custody_of the object, transferred_custody_from the previous custodian, and transferred_custody_to the new custodian.",Object Provenance,Parts,"Loans, Thefts, Losses and other Changes of Custody","https://linked.art/example/provenance/16
https://linked.art/example/provenance/17"
84,"Institutional Ownership, Departmental Custody","Objects are owned by legal entities, such as museum organizations or individual people. However there may be more information about which department is responsible within a museum for the curation of the object. This is the division between acquisitions (the legal ownership of the object) and custody (the responsibility for looking after the object). If the department is known, then it should be either part of the Provenance Event in which the object is acquired, or a separate provenance event if the object was not accessioned by a department and later came under their care, or was transferred between departments. In these latter cases, the ownership does not change, only the custody of the object.

The department becomes the current_keeper of the object, whereas the institution is the current_owner, as described in the object section. The transfer model is otherwise identical to other transfers of custody.",Object Provenance,Parts,"Loans, Thefts, Losses and other Changes of Custody",https://linked.art/example/provenance/18
85,Loss,"The loss of an object is the transfer of custody away from its current owner, without stating a recipient. In the future, if the object is discovered, the recipient might be able to be filled in. If the object is then returned to the owner, there would be the reverse transfer of custody from the party that found it. It might be that the owner simply loses track of it, and although it is still in their possession, they are not aware of it ... it has no custodian, but it has not moved and the owner still owns it.",Object Provenance,Parts,"Loans, Thefts, Losses and other Changes of Custody",https://linked.art/example/provenance/19
86,Theft,"The theft of an object is also the (illegal) transfer of custody of the object, rather than a transfer of ownership. If the stolen object were recovered, then it would be restored to its owner. Stolen, or looted as a special case of theft, objects and their repatriation are an interesting and important part of the provenance of a work and frequently contested.

A single theft event might involve stealing multiple objects, in the same way that the purchase of an auction lot might involve the acquisition of multiple objects for a combined payment.",Object Provenance,Parts,"Loans, Thefts, Losses and other Changes of Custody",https://linked.art/example/provenance/20
87,Sale of Stolen or Looted Objects,"If a stolen object is sold, then that purchase is actually just a transfer of custody in exchange for money (or other payment). Typically, of course, the nature of that transaction is not discovered until long after the fact. This can then have many effects on the provenance record for the object as suddenly many acquisitions would be retroactively changed to being transfers of custody. This updating of the historical record is necessary without going to great lengths to model the belief that an acquisition is legal for the vast majority of cases when it is, indeed, legal in order to allow that belief to be incorrect for the few times when it is not.",Object Provenance,Parts,"Loans, Thefts, Losses and other Changes of Custody",https://linked.art/example/provenance/21
88,Rights and their Acquisition,"The model for acquiring an object (by purchase, gift or other means) incorporates the specific right of ownership into the properties of the Acquisition resource. The acquisition transfers the title of the object between parties, but that ""title"" could be expanded to a more completely modeled Right. For some scenarios where we have more information about the interactions and legal status, we need to explicitly model these rights.

Rights are conceptual things that apply to their real world subjects. They are not relative to time, but can be established and invalidated by various activities or events. The simplest case would be that as part of the provenance event where an object is acquired, there is also the establishment of the right of ownership of that object by the new owner and the invalidation of the right of ownership of the previous owner.

While it is possible and valid to have both the Acquisition and the Right in a single provenance entry, it is redundant as the acquisition model is simpler and more concise without losing any information. The sections below introduce scenarios in which information would be lost without the explicit modeling of the Right.

In order to connect the Right to the provenance activity, we introduce a new Activity subclass called RightAcquistion. It has two new properties: establishes links the Right that was established by this activity, and invalidates can optionally link to the Right that was rendered invalid by the activity.

Instances of Right have two properties: possessed_by refers to the actor (Group or Person) that has the right described, and applies_to refers to the thing over which the right pertains.",Object Provenance,Parts,Transfer of Rights,https://linked.art/example/provenance/27
89,Multiple Owners with Different Stakes,"A change in ownership might involve more than two parties, resulting in a state where multiple actors together own some share of the object. Examples of this situation include when art dealers share the costs of purchasing an object and then share the proceeds of sale in the same proportions, when a donor gives part of the value of an object to an institution, or when a marriage is dissolved and the value of the object is split between the individuals.

The base acquisition model allows for ownership to be transferred to multiple actors, but it is impossible to then determine the share of the value that was owned by each party and the implicit assumption should be that all parties owned equal shares. In order to allow for the description of different proportions of the object to be owned by different actors, we need partition the Right into shares to be divided. These components are themselves Rights that are possessed by the respective parties.

In the same way as describing the physical extent of a physical object, we can use a Dimension to describe the logical extent of the ownership. At any given time the total shares of an object should, of course, add up to the entire object. If this is not true, then it might signify either that the accounting is wrong (more than 100% of the object is claimed as being owned), theft (multiple claims of ownership at the same time, some of which are illegal), or just that it is now unknown what happened.",Object Provenance,Parts,Transfer of Rights,https://linked.art/example/provenance/28
90,Transfer of Shares,"Once the share of an object has been established, that right can be traded as part of future provenance entries.

In order to maintain consistency with the original establishment of the division of ownership, the difference between the initial state and the new state is not described, but instead the new state is described directly. If a 10% share is acquired from another owner, the 10% is not traded requiring the system to calculate the new total proportions, but instead the new total proportions are described.

If only existing owners are part of the entry, then there is no need to establish a new Right that is the new total ownership, it is simply a new division of the existing total. Ownership Rights are brought into existence by Acquisition events - the set of people who possess the right is fixed, and is the same set of actors as those referenced by title_transferred_to. Thus any new Acquisition by a new partial owner requires a new Ownership Right, as described above.",Object Provenance,Parts,Transfer of Rights,https://linked.art/example/provenance/29
91,Intellectual Property Rights,"Other sorts of rights associated with art that can be acquired include the intellectual property rights, such as copyright for a text or image, separate from any physical carrier, or the right to perform some piece of time-based media such as a projected installation. The manipulation of these rights also uses the RightAcquisition pattern.

Many copyrights for images are owned by collective organizations rather than individuals, and these organizations can acquire and exchange those copyrights completely independently of any physical carrier of the image.",Object Provenance,Parts,Transfer of Rights,https://linked.art/example/provenance/30
92,Encounters,"Objects of cultural significance are often lost to all knowledge, or to the general knowledge of the prevailing culture, and then later rediscovered. This is considered to be part of the provenance of the object, rather than equivalent to its Production, especially as both may be known. There are also ownership considerations that need to be taken into account at the same time, as to whether this find also transfers the ownership of the object to the discoverer, or merely custody of it.

The model uses an Encounter activity, which is carried out by the person or group making the rediscovery. The activity has its own relationship for the object that is rediscovered, encountered, to ensure that other objects that are used as part of the discovery can be separated from the ""find"". As it is part of a Provenance Event, other parts can describe the changing ownership status of the object. In all other ways, the Encounter is just like a regular Activity as described in the baseline patterns.",Object Provenance,Parts,Encounters with Objects,https://linked.art/example/provenance/22
93,Promised Gift,"A promise of a gift (or sale, or exchange) is an Activity which is carried out by the promising party. It is a promise to some other actor to perform some further activity (the acquisition), however we lack the ontological machinery at the moment to make this explicit. Instead we can reference the promised party and the object being promised only via the more general properties of participant and used_specific_object respectively.

Further details and clarification about the promise, including any description of the contract, should be given in a descriptive note on the promise activity.",Object Provenance,Parts,Promised Activities,https://linked.art/example/provenance/24
94,Commissions for Artwork,"Another type of promise can occur even before the artwork is produced: a commission from a sponsor for the production of the work. This starts out with paired promises, where the artist promises to produce the work, and the commissioner promises to pay for it. There might be some amount of money paid to the artist in advance, or other transfers of custody or ownership of objects, such as lending something to the artist to produce a copy of. Given the potential for multiple exchanges of promises, money, and objects, the description of the commissioning activity fits cleanly into the broader Provenance Entry model.

The description of the production of the commissioned object is taken care of by the regular production pattern, as described in the object section. The subsequent transfer of title to the new owner, and the payment of any monies due to the artist is a second provenance entry following all of the regular patterns.",Object Provenance,Parts,Promised Activities,"https://linked.art/example/provenance/25 
https://linked.art/example/object/76"
95,Auction,"The auction is the overall event, and a typical auction has the features described here. The auction might occur over multiple days, during which many auction of lots (the sale of one or more objects) will take place. It is performed by an organization, known as an auction house, and for movable art objects takes place at the premises of the organization. The auction of lot is each a separate sale, described in the following section.

The auction is modeled as an Activity, and represents the overall event. It is carried_out_by the auction house (a Group), took_place_at the auction house premises (a Place), and has all of the regular properties of an Activity. It is referenced by the auction of lot activities via their part_of property.",Object Provenance,Parts,Auctions,https://linked.art/example/event/6
96,Auction of Lot,"The auction of a lot is an activity with an aim of obtaining the highest price for object or objects available in that lot. It is normally carried out by an auctioneer employed by the auction house organization. The price increases as people make bids, and the highest bidder is the winner of the auction. The details of the individual bids are not normally known, however whether there were bids but no sale is sometimes available. The auction of lot then causes the Provenance activity that describes the purchase, with the transfer of ownership, custody and payments.

The model uses an Activity for the auction of lot, which is part_of the Auction event. It uses a Set of objects to link the objects for sale to the activity via the used_specific_object property. Any bidding information is part of the the Auction of Lot, and if the reserve price is met, then a provenance entry representing the purchase of the objects is caused by the Auction of Lot. It can also have all of the regular activity properties to refer to time and place.",Object Provenance,Parts,Auctions,https://linked.art/example/event/7
97,Known Bid Amounts,"Sometimes we also know the monetary amounts that were unsuccessfully bid for the object, regardless of whether the auction eventually ended in a sale or not. These bids are part of the overall bidding activity.

Bids are modeled as the creation of a proposition that the bidder (or the person that an agent is bidding on behalf of) will pay a certain amount of money for the object. In the example below, a known bid is $10,000 but it is not stated whether there was a sale concluded.",Object Provenance,Parts,Auctions,https://linked.art/example/event/8
98,Set of Objects,"The Lot is a set of objects grouped together for the purposes of the sale, and may potentially have come from different owners. It is frequently assigned an identifying Lot Number by the auction house, and may have a title, description or other properties such as specific price information, discussed in more detail below. The set has members which are the objects for sale.
",Object Provenance,Parts,Auctions,https://linked.art/example/set/6
99,Pre-set Prices,"In auctions, there are several types of monetary values that are useful and interesting to record. There is a significant distinction between the starting price or reserve price for an auction and the regular purchase price of an object, in that even if the auction never takes place, these other prices are still known as they are set in advance.

There are three pre-set prices of interest:

Starting Price: (aat:300417242) The price at which the auction will start.
Reserve Price: (aat:300417243) The price that must be exceeded for the auction to result in a sale.
Estimated Price: (aat:300417244) The price that the auction house estimates will be the final sale price.
These prices are associated with the Set of Objects that the Auction of Lot is intended to sell. In this way, even if the auction never takes place, there is still the set of objects to associate the prices with. In order to associate a monetary value with an object, it is treated as an observed dimension.",Object Provenance,Parts,Auctions,https://linked.art/example/set/7
100,Purchase of Lot,"The purchase of the lot is very similar to the purchase of any other object, however there is an explicit reference to the set of objects. The set is only a temporary grouping, put together only for the purpose of this particular auction and is not something which can be owned directly. As such, each object has its own acquisition as part of the provenance event. Conversely, there is only a single payment for the entire lot.",Object Provenance,Parts,Auctions,https://linked.art/example/provenance/13
101,Lot Withdrawn,"It is possible that an auction lot is withdrawn from the auction before the auction of lot occurs. The auction catalog will record the objects in the lot, and is valuable for the historical record to know that they were offered for sale and then withdrawn.

In this case, there should be a catalog entry and the auction lot set that the entry describes, but no corresponding auction of lot activity, as it did not take place. The date can be calculated from the dates of the auction event, to position the objects in time. In some cases, where the auctioned objects are all from a single person or organization, this would also establish evidence of ownership at that time.",Object Provenance,Parts,Auctions,
102,Object Withdrawn from Lot,"It can also be that a single object is withdrawn from a Lot with multiple objects, which is otherwise sold. In this case, the withdrawn object is returned to the owner as part of the provenance event that is caused by the auction of the lot which still takes place. That return has a specific purpose that can distinguish withdrawn objects from objects that are returned for other reasons below.",Object Provenance,Parts,Auctions,
103,Reserve Not Met,"Another scenario is when the auction of lot does take place, but there is no purchase because a reserve price was not met. This is often referred to as being ""Bought In"", or sometimes ""Passed"".

In this case the auction of lot activity does occur, but there may or may not have been any bidding. It does result in a provenance entry, as for the auction house organization to be able to auction it, they must have had some degree of custody of the object. There may also be a commission paid from the owner to the auction house for running the auction, even though it was ultimately unsuccessful.",Object Provenance,Parts,Auctions,https://linked.art/example/provenance/14
104,Bought by Owner,"In some cases the owner of the object actively bids on their own items, either directly or via an agent, and ends up bidding the highest amount, and thereby winning the lot. This is different to the bought in case, as in that case the reserve was not met, and in this case it was. This was sometimes done intentionally to determine what the market would bear for an object, or to drive up the price of related objects by providing a precedent.

As the owner cannot sell the object to themselves, this does not result in a change of ownership. In the same way as when the reserve is not met, there is a change of custody from the owner to the auction house and back again, and might involve paying commission to the auction house for the ""sale"". Conversely, in this case we do know that there was bidding as there was a ""sale"", even if there was not a transfer of ownership.",Object Provenance,Parts,Auctions,
105,"Winner Unable to Pay
","And in other cases, someone successfully wins the auction other than the owner, but is unable to pay. In this case there was a bid, the promise to pay a given amount, but no subsequent fulfillment of the promise with a payment. Again, this results in the transfer of custody of the object from the auction house back to the owner. The bid amount can be recorded as described in the bidding section.

It is not often to know that this has occured, unless the information is coming either directly from the auction house or from the owner. This might happen when an art dealer auctions an object, and then records the return of the object in their stock management system.",Object Provenance,Parts,Auctions,
106,Auction Catalog,"Much of the information we have about historical auctions comes from Auction Catalogs. These documents thus provide the primary source of evidence, and can be linked to the descriptions of the activities. These follow the same model as other documents.",Object Provenance,Parts,Auctions,https://linked.art/example/text/10
107,Moving an Object,"The model for moving an object is very similar to that of an Acquisition, Transfer of Custody or Payment. There is an activity, which can be carried_out_by an actor and all of the other basic activity features, that moved the object between two locations, from the place given in moved_from and to the place given in moved_to.",Object Provenance,Parts,Object Location and Movement,https://linked.art/example/provenance/23
108,Taking Inventory,"One such activity is taking inventory (aat:300077506) by the owner of their objects. This is routinely carried out by art dealers, collectors or museums, in order to ensure that they still have custody of all of the objects that they believe they do. This establishes the existence and presence of the object at a certain place and time, and is thus useful in tracking the object through history.

This is modeled as an Encounter. In this case, the actor knows where the object is and it is not a ""discovery"", and the Provenance Activity describes the activity of the owner recording that they have seen the object, and perhaps inspected or examined it. The object itself does not change, nor its ownership or custody, but this is more that the knowledge of the state of the object is verified or updated.",Object Provenance,Parts,Object Curation,https://linked.art/example/provenance/15
109,Object Ownership and Existence,"There isn't a temporal entity in the model that represents the entire duration of ownership of an object by a Person or Group, nor a temporal entity that represents the entire existence of an object. This is useful for the simple cases, when an object is acquired and sold individually, however quickly becomes complicated when multiple objects are involved in a single transaction. Instead, the relative temporal ordering properties of starts_after_the_end_of and ends_before_the_start_of are recommended to chain Provenance Activities together, allowing a system to infer the periods between the events.
",Object Provenance,Parts,Object Curation,
110,Core Features,"Sets are conceptual groupings, rather than physical ones. The set of objects in a virtual exhibition or simply the set of a person's favorite objects never change their physical state by being part of the Set or not. They are, thus, created by a Creation, not by a Production.

Like any core resource, Set must have an id and type, are likely to have additional classifications, and can have Identifiers and Names. They can have statements made about them, and have member resources. These member resources are included via the member property rather than part, or via member_of from the included resource to the Set.",Collections and Sets,Sets,,https://linked.art/example/set/3
111,Collections of Objects,"Sets can be used to describe the set of objects that make up a curated collection. This is not necessarily the set of objects that the institution owns, as there could be objects which are looked after but owned by some other organization or individual, nor the set of objects that the institution has custody over, as objects being loaned to other organizations for exhibitions are still part of the conceptual collection of objects. The details of the relationship between the object and the institution are recorded on the object, and the Set simply records which objects are thought of as being part of the collection. Objects can be thought of as being part of multiple collections at the same time -- the private owner's personal collection and the museum's public collection. So while the majority of objects are both owned by and in the custody of the organization, this is not certain and should not be inferred. The Set is created by the organization or person that abstractly manages the collected objects.

This pattern can be used for any type of organization that manages objects, from museums and archives to individuals and art dealers.",Collections and Sets,Sets,,https://linked.art/example/set/4
112,Departmental Collections,"Institutions are often split up into departments, each of which will manage a part of the overall collection. These parts of the collection are managed as separate Sets, rather than a tree structure within a single resource. It is useful to be able to describe the properties of the object in each of the contexts, and allow a separate structure of inventory management from organizational chart. The department might also conceive of further sets of their objects, without any direct correspondence and likely with the same object being part of more than one set at the same time.
",Collections and Sets,Sets,Collections of Objects,https://linked.art/example/set/5
113,Other Uses,"The set of objects in an auction lot are also modeled as a Set. These are not curated in the same way as a museum collection, and are not necessarily ever brought together physically, but are being put up for auction as a single entity. Similarly, the set of objects used in an exhibition is also modeled as a Set.",Collections and Sets,Sets,,
114,Collection Specific Information,"Information about a resource that is specific to the context of the set that they are part of, such as the accession number of an object for that particular collection, can be described using the AttributeAssignment patterns described in the page about assertions.",Collections and Sets,Sets,,
115,Adding and Removing Resources,"Objects are rarely added and removed from collections without further contextual information, there is almost always some larger activity that results in the change. The ownership of the object is transferred to the organization which prompts it to be accessioned into the collection, and subsequently an accession number Identifier as assigned to it.

There are two activities, Addition and Removal, which mirror the same activities of Joining and Leaving for members of Groups. These may be included in the object representation, to further expand upon the member_of relationship.",Collections and Sets,Collections over Time,,https://linked.art/example/object/29
116,Exhibition Concept,"The model distinguishes between the concept of the exhibition and the activity that makes that concept real. The concept is created by the people who originally think up the exhibition, long before any of the pieces are collected together. The exhibition concept likely has some theme that results in a coherent set of objects being presented, which could be as complex as post-industrial life or as simple as the life's work of a particular artist.

The concept is modeled as a PropositionalObject, and classified_as aat:300417531 to ensure that it's clearly tagged as an exhibition. It can have all of the affordances of any concept, such as names, identifiers, references, relationships and more.",Exhibitions,,,https://linked.art/example/concept/2
117,Exhibition Activity,"There is an activity, as described in the section on Provenance, which is the exhibiting of the objects. In particular, the public exhibition takes place at a certain time given in timespan, at a certain place or places given in took_place_at, and was organized by some actor or actors, likely organizations, given in carried_out_by. It can be recognized as an exhibition using the classification of aat:300054766, ""exhibitions"".",Exhibitions,,,https://linked.art/example/activity/1
118,Multiple Venues,"Some exhibitions are shown at different locations over time, moving from one museum or exhibition hall to another. In this case, each of the different locations is treated as an exhibition in its own right, and then a broader ""travelling exhibition"" (aat:300054773) is created that these are part of. Note that the travelling exhibition can have separate properties from its parts, such as a label to distinguish the joint nature and a broader timespan that covers all of the venues. There is no need to duplicate the organizations and locations in the travelling exhibition, these can be determined more easily by looking at the exhibitions that it consists of.
",Exhibitions,,,https://linked.art/example/event/5
119,Objects,"The collection of art objects on display at exhibitions can be listed from the Exhibition with the property used_specific_object. The model for the set of objects that make up the content of the exhibition is the same as the model for permanent collections -- the objects are collected together into a Set, which is used by the Exhibition.

For the travelling exhibitions described above, a different collection of objects should be referenced from each of the venues. Objects are frequently added or removed for the venue, and each venue will likely have its own context specific information such as descriptions or labels. The top level activity representing the overall exhibition does not have its own Aggregation in the travelling exhibition case.",Exhibitions,,,https://linked.art/example/activity/2
